Sex,Age,School failure,Whatsapp,W,Facebook,F,Instagram,I,Twitter,Tw,Snapchat,S,TikTok,Tk,Other social,O,Time spent on social media,Daily use of social media,Which Device,Time flows,Perceived anxiety during SM use,Perceived loneliness,SM checking,Video-games and online play,Time spent on line playng videogames,BSMAS,BSMAS cut-off underlined,RSES,CSIQ-A,STAI Y-1,STAI Y-2
Female,15,No,0,No,0,No,0,No,0,No,0,No,1,Yes,0,No,6-8,Yes,Smartphone,Faster,As always,As always,Infrequently (1-2 times),Infrequently,I don't play,10,10,10,19,36,44
Female,17,No,1,Yes,0,No,1,Yes,0,No,1,Yes,0,No,0,No,2-4,Yes,Smartphone,Faster,As always,As always,Very often (every 10 minutes),Everyday,3-5 hours,15,15,12,10,55,54
Female,17,No,1,Yes,0,No,1,Yes,0,No,0,No,0,No,0,No,6-8,Yes,Smartphone,As always,As always,As always,Infrequently (1-2 times),Never,I don't play,13,13,13,24,42,48
Female,17,No,1,Yes,0,No,1,Yes,0,No,0,No,0,No,0,No,6-8,Yes,Smartphone,As always,As always,As always,Infrequently (1-2 times),Never,I don't play,6,6,13,24,42,48
Female,19,Yes,0,No,0,No,1,Yes,0,No,0,No,0,No,0,No,6-8,Yes,Smartphone,As always,As always,As always,Quite often (every Very often (every 10 minutes)0 minutes),Often,1-3 hours,13,13,22,25,45,49
Female,17,No,0,No,0,No,1,Yes,1,Yes,0,No,0,No,0,No,6-8,Yes,Smartphone,Faster,Less anxious,Less alone,Quite often (every Very often (every 10 minutes)0 minutes),Everyday,3-5 hours,13,13,14,20,46,54
Male,18,Yes,1,Yes,1,Yes,1,Yes,0,No,0,No,0,No,0,No,2-4,Yes,Smartphone,Faster,As always,As always,Never,Never,I don't play,13,13,21,17,45,43
Male,19,Yes,1,Yes,0,No,1,Yes,0,No,0,No,0,No,0,No,2-4,Yes,Smartphone,Faster,As always,As always,Quite often (every Very often (every 10 minutes)0 minutes),Often,1-3 hours,11,11,22,25,40,41
Female,16,No,0,No,0,No,1,Yes,0,No,1,Yes,1,Yes,0,No,0-2,Yes,Smartphone,Faster,As always,As always,Never,Infrequently,1-3 hours,20,20,17,13,37,41
Male,18,No,1,Yes,1,Yes,1,Yes,0,No,0,No,0,No,0,No,2-4,Yes,Smartphone,Faster,As always,As always,Quite often (every Very often (every 10 minutes)0 minutes),Often,1-3 hours,11,11,25,25,49,39
Male,16,No,1,Yes,0,No,1,Yes,0,No,0,No,1,Yes,0,No,2-4,Yes,Smartphone,Slower,As always,As always,Quite often (every Very often (every 10 minutes)0 minutes),Everyday,More than five hours,10,10,14,25,42,50
Male,19,No,1,Yes,0,No,1,Yes,0,No,0,No,0,No,0,No,4-6,Yes,Smartphone,Faster,As always,As always,Infrequently (1-2 times),Infrequently,Approximately one hour,17,17,15,21,36,43
Female,19,Yes,1,Yes,0,No,1,Yes,0,No,0,No,0,No,0,No,4-6,Yes,Smartphone,Faster,As always,As always,Infrequently (1-2 times),Infrequently,<1 hour,17,17,13,21,45,50
Female,18,No,1,Yes,0,No,1,Yes,0,No,0,No,0,No,0,No,6-8,Yes,Smartphone,Faster,As always,As always,Infrequently (1-2 times),Never,I don't play,14,14,13,25,40,52
Male,19,Yes,1,Yes,1,Yes,1,Yes,0,No,0,No,0,No,0,No,0-2,Yes,Smartphone,As always,As always,As always,Never,Everyday,More than five hours,14,14,12,18,48,37
Female,15,No,1,Yes,0,No,1,Yes,0,No,0,No,1,Yes,0,No,6-8,Yes,Smartphone,As always,As always,As always,Quite often (every Very often (every 10 minutes)0 minutes),Infrequently,I don't play,8,8,19,18,40,51
Female,18,No,1,Yes,0,No,1,Yes,0,No,0,No,1,Yes,1,Yes,4-6,Yes,Smartphone,Faster,As always,More alone,Never,Infrequently,<1 hour,11,11,12,20,32,51
Male,18,No,1,Yes,0,No,1,Yes,0,No,0,No,0,No,0,No,2-4,Yes,Smartphone,As always,As always,As always,Never,Sometimes,<1 hour,20,20,23,26,42,51
Male,18,No,1,Yes,0,No,1,Yes,0,No,0,No,1,Yes,0,No,6-8,Yes,Smartphone,Slower,As always,Less alone,Infrequently (1-2 times),Everyday,More than five hours,20,20,20,26,45,44
Male,18,Yes,1,Yes,0,No,1,Yes,0,No,0,No,0,No,0,No,2-4,Yes,Smartphone,As always,As always,As always,Never,Sometimes,<1 hour,8,8,23,24,49,52
Male,16,No,1,Yes,0,No,0,No,0,No,0,No,0,No,0,No,2-4,Yes,Smartphone and computer,As always,As always,More alone,Infrequently (1-2 times),Often,3-5 hours,10,10,19,27,46,48
Female,18,No,0,No,0,No,1,Yes,0,No,0,No,0,No,1,Yes,8-10,Yes,Smartphone and computer,As always,Less anxious,More alone,Infrequently (1-2 times),Never,1-3 hours,16,16,15,26,52,47
Female,18,No,1,Yes,0,No,1,Yes,0,No,0,No,1,Yes,0,No,2-4,Yes,Smartphone,Faster,As always,As always,Infrequently (1-2 times),Sometimes,1-3 hours,19,19,14,16,37,40
Male,17,No,1,Yes,0,No,1,Yes,0,No,0,No,0,No,1,Yes,4-6,Yes,Smartphone,As always,As always,As always,Infrequently (1-2 times),Often,1-3 hours,19,19,17,20,33,38
Female,19,Yes,1,Yes,0,No,1,Yes,0,No,0,No,1,Yes,0,No,8-10,Yes,Smartphone,Faster,Less anxious,Less alone,Quite often (every Very often (every 10 minutes)0 minutes),Infrequently,<1 hour,23,23,9,20,50,53
Female,19,Yes,1,Yes,0,No,1,Yes,0,No,0,No,0,No,0,No,6-8,Yes,Smartphone,Slower,Less anxious,Less alone,Infrequently (1-2 times),Infrequently,I don't play,13,13,8,13,44,63
Male,16,Yes,1,Yes,0,No,1,Yes,0,No,0,No,0,No,0,No,6-8,Yes,Smartphone,Faster,As always,As always,Infrequently (1-2 times),Often,1-3 hours,13,13,13,27,49,40
Female,15,Yes,1,Yes,0,No,1,Yes,0,No,0,No,0,No,0,No,4-6,Yes,Smartphone,As always,As always,As always,Very often (every 10 minutes),Never,I don't play,13,13,14,26,41,46
Male,16,Yes,1,Yes,0,No,1,Yes,0,No,0,No,0,No,0,No,2-4,Yes,Smartphone,Faster,As always,As always,Never,Often,3-5 hours,10,10,18,22,42,45
Female,16,Yes,1,Yes,0,No,1,Yes,0,No,0,No,1,Yes,0,No,2-4,Yes,Smartphone and computer,As always,As always,As always,Infrequently (1-2 times),Infrequently,<1 hour,15,15,13,24,44,42
Female,15,No,1,Yes,0,No,1,Yes,0,No,0,No,0,No,0,No,2-4,Yes,Smartphone,Faster,As always,Less alone,Infrequently (1-2 times),Never,I don't play,12,12,13,18,47,43
Female,15,No,1,Yes,0,No,1,Yes,0,No,0,No,0,No,0,No,2-4,Yes,Smartphone,Faster,As always,Less alone,Infrequently (1-2 times),Never,I don't play,17,17,13,18,47,43
Female,17,No,1,Yes,0,No,0,No,0,No,0,No,0,No,0,No,4-6,Yes,Smartphone,Faster,As always,As always,Never,Never,I don't play,19,19,19,20,37,35
Female,15,No,0,No,0,No,1,Yes,0,No,0,No,0,No,0,No,4-6,Yes,Smartphone,Faster,As always,As always,Quite often (every Very often (every 10 minutes)0 minutes),Often,1-3 hours,19,19,14,16,36,39
Male,19,Yes,1,Yes,1,Yes,1,Yes,0,No,0,No,1,Yes,0,No,4-6,Yes,Smartphone,As always,As always,As always,Very often (every 10 minutes),Sometimes,<1 hour,15,15,13,13,40,51
Male,15,No,0,No,0,No,1,Yes,0,No,0,No,0,No,0,No,2-4,Yes,Smartphone,As always,As always,As always,Never,Often,3-5 hours,15,15,12,20,49,51
Male,15,No,1,Yes,0,No,1,Yes,0,No,0,No,0,No,0,No,0-2,Yes,Smartphone,As always,As always,Less alone,Never,Sometimes,1-3 hours,14,14,18,14,42,43
Female,18,Yes,1,Yes,0,No,1,Yes,0,No,0,No,1,Yes,0,No,4-6,Yes,Smartphone,As always,As always,Less alone,Infrequently (1-2 times),Infrequently,<1 hour,7,7,19,18,40,44
Male,16,No,1,Yes,0,No,1,Yes,0,No,0,No,1,Yes,0,No,2-4,Yes,Smartphone,As always,Less anxious,Less alone,Quite often (every Very often (every 10 minutes)0 minutes),Sometimes,Approximately one hour,9,9,23,27,53,50
Female,15,No,1,Yes,0,No,1,Yes,0,No,0,No,1,Yes,0,No,10 or more,Yes,Smartphone,Faster,As always,Less alone,Quite often (every Very often (every 10 minutes)0 minutes),Never,I don't play,10,10,8,24,43,60
Female,17,No,1,Yes,0,No,1,Yes,0,No,0,No,0,No,0,No,4-6,Yes,Smartphone,As always,As always,As always,Infrequently (1-2 times),Never,I don't play,18,18,21,23,43,41
Female,19,No,1,Yes,0,No,1,Yes,0,No,0,No,0,No,0,No,6-8,Yes,Smartphone,Faster,As always,As always,Infrequently (1-2 times),Infrequently,I don't play,24,24,7,13,51,49
Female,19,No,1,Yes,0,No,1,Yes,0,No,0,No,0,No,0,No,6-8,Yes,Smartphone,Faster,As always,As always,Infrequently (1-2 times),Infrequently,I don't play,24,24,7,13,51,49
Male,18,No,1,Yes,0,No,1,Yes,0,No,0,No,0,No,0,No,2-4,No,Smartphone,Faster,As always,As always,Infrequently (1-2 times),Sometimes,3-5 hours,24,24,16,27,45,50
Female,17,No,1,Yes,0,No,1,Yes,0,No,0,No,0,No,0,No,2-4,Yes,Smartphone,Faster,As always,As always,Quite often (every Very often (every 10 minutes)0 minutes),Infrequently,I don't play,24,24,20,23,48,48
Female,16,No,1,Yes,0,No,1,Yes,0,No,0,No,0,No,0,No,2-4,Yes,Smartphone,As always,As always,As always,Never,Infrequently,<1 hour,11,11,17,21,37,46
Female,15,No,1,Yes,0,No,0,No,0,No,0,No,0,No,0,No,0-2,No,Smartphone and computer,As always,More anxious,As always,Infrequently (1-2 times),Never,<1 hour,11,11,23,12,48,52
Male,15,No,1,Yes,1,Yes,1,Yes,1,Yes,1,Yes,1,Yes,1,Yes,10 or more,Yes,Smartphone,Faster,As always,As always,Infrequently (1-2 times),Everyday,3-5 hours,13,13,15,37,55,52
Female,19,Yes,0,No,0,No,1,Yes,0,No,0,No,0,No,0,No,2-4,Yes,Smartphone,As always,Less anxious,Less alone,Quite often (every Very often (every 10 minutes)0 minutes),Infrequently,I don't play,11,11,11,21,36,43
Male,17,Yes,1,Yes,0,No,0,No,0,No,0,No,0,No,0,No,4-6,Yes,Smartphone,As always,As always,As always,Infrequently (1-2 times),Never,<1 hour,12,12,27,17,43,53
Female,14,No,1,Yes,0,No,1,Yes,0,No,0,No,1,Yes,0,No,6-8,Yes,Smartphone,Faster,As always,As always,Quite often (every Very often (every 10 minutes)0 minutes),Never,I don't play,7,7,21,31,42,40
